,problem,cluster
0,Far from town proper,0
1,Hard to hail a taxi or tricycle to town proper,0
2,No water heater for drinking,12
3,Lack of security cameras in the hallways,2
4,No cafeteria for coffee or breakfast,14
5,Weak and fluctuating WiFi reception,11
6,Not all tricycle drivers knew the place,7
7,bed is a bit small,10
8,only 2 pillows,2
9,no table,2
10,no glasses,2
11,no plates,2
12,poor sound insulation,3
13,excessive street noise,2
14,too much light enters the room,13
15,thin and insufficient foam mattress,2
16,wifi login credentials expire every 24 hours and must be obtained from reception again,2
17,shower temperature is hard to adjust,8
18,shower knob is difficult to move,2
19,problematic for shorter guests,2
20,Assigned upper floor instead of requested lower floor,15
21,Wifi password not provided at check-in,4
22,Attendant collected balance payment at night before checkout,9
23,Blanket had a hole,6
24,Motorcycle noise outside could be heard inside the room,2
25,Sleep was slightly disturbed,2
26,Unresponsive host,2
27,Poor communication,3
28,Front desk staff did not know the room assignment,1
29,Unhelpful and rude front desk service,1
30,Vague and sarcastic responses,2
31,Front desk unattended at night,1
32,No security guard on duty,2
33,Safety concerns,5
